Region;Model;Scenario;Variable;Unit;Y2010;Y2015;Y2020;Y2025;Y2030;Y2035;Y2040;Y2045;Y2050;Y2055;Y2060;Y2065;Y2070;Y2075;Y2080;Y2085;Y2090;Y2095;Y2100
ABW;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;0.151;0.202;0.254;0.316;0.386;0.458;0.541;0.637;0.746;0.871;1.016;1.184;1.374;1.587;1.824;2.078;2.356;2.661;2.990
AFG;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;37.237;48.657;61.865;79.552;101.892;129.443;164.742;209.418;264.787;331.875;411.876;506.733;618.176;747.105;892.395;1053.028;1228.295;1417.795;1621.072
AGO;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;98.686;128.849;171.468;199.156;217.801;223.319;225.297;231.799;247.196;272.098;306.201;349.531;401.771;462.706;531.346;606.858;688.203;776.162;870.001
ALB;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;24.545;27.178;31.008;34.909;38.548;41.695;44.756;47.737;50.445;53.052;55.728;58.445;61.263;64.348;67.486;70.535;73.618;76.925;80.668
ARE;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;318.142;429.134;513.489;603.066;701.429;795.596;878.513;936.512;965.922;979.309;993.306;1003.871;1013.838;1023.210;1031.918;1040.872;1050.732;1059.303;1065.177
ARG;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;580.427;722.739;875.897;1021.622;1153.872;1270.473;1374.993;1468.189;1561.540;1657.061;1758.348;1867.923;1985.303;2107.248;2230.872;2354.428;2479.787;2607.622;2739.687
ARM;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;15.153;18.322;21.858;25.354;28.684;31.600;34.267;36.500;38.275;39.851;41.691;44.006;46.334;48.659;51.161;53.896;57.008;60.466;64.247
AUS;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;795.588;929.586;1073.369;1195.437;1295.774;1379.623;1451.781;1514.677;1559.260;1592.706;1628.336;1662.858;1690.575;1705.284;1711.007;1708.793;1704.074;1699.667;1691.013
AUT;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;296.850;328.133;352.898;372.269;387.705;400.748;413.397;423.658;428.800;430.604;430.299;428.908;425.113;418.946;410.697;400.494;389.312;377.777;365.453
AZE;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;80.696;91.911;106.293;116.689;126.925;129.490;129.773;129.201;128.432;129.236;133.254;140.665;149.281;157.851;167.466;178.634;192.266;208.018;225.244
BDI;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;4.389;5.752;7.890;10.354;13.361;16.706;20.793;25.616;31.144;37.530;45.023;53.760;63.748;74.944;87.090;100.117;114.172;129.224;145.205
BEL;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;357.666;382.904;409.444;436.363;464.168;491.664;516.515;535.995;549.873;560.723;570.205;577.541;580.515;579.405;576.062;570.708;564.153;556.402;546.435
BEN;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;12.601;15.257;19.279;24.371;30.300;36.738;44.409;53.559;64.245;76.620;90.772;106.760;124.674;144.454;166.149;189.598;215.038;242.353;271.647
BFA;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;18.709;25.597;35.536;47.599;61.498;76.863;95.245;117.438;143.990;175.427;212.042;254.389;302.952;357.525;417.741;483.243;553.721;629.076;709.110
BGD;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;221.297;303.325;429.037;569.094;707.552;833.948;965.740;1100.231;1236.326;1377.870;1528.623;1688.636;1861.911;2051.297;2251.450;2462.868;2689.579;2936.538;3207.751
BGR;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;86.738;96.323;118.000;137.046;152.869;164.509;173.646;180.681;186.932;193.854;203.021;213.747;224.637;235.195;245.658;256.171;267.174;278.647;290.298
BHR;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;26.934;34.484;42.890;52.121;60.938;69.075;76.728;83.502;89.999;97.870;107.750;118.659;130.073;141.485;152.637;163.611;174.563;185.091;194.625
BHS;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;9.647;10.895;12.433;13.661;14.604;15.382;16.097;16.809;17.441;18.048;18.654;19.337;20.131;20.932;21.737;22.522;23.304;24.100;24.939
BIH;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;28.065;30.859;37.511;44.730;51.348;57.062;62.093;66.096;68.913;71.128;73.486;75.291;77.119;78.910;80.328;81.593;82.895;84.355;86.054
BLR;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;118.671;145.651;176.105;201.695;222.019;237.794;250.293;258.887;264.355;270.416;280.249;292.872;305.916;317.972;329.232;340.992;354.258;369.052;384.571
BLZ;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;2.061;2.306;2.642;3.077;3.566;4.083;4.652;5.277;5.950;6.679;7.461;8.319;9.273;10.319;11.449;12.654;13.951;15.362;16.904
BOL;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;43.190;55.420;71.534;90.497;110.770;131.328;153.940;178.918;206.496;237.111;271.195;309.532;352.474;400.218;452.488;508.449;568.586;632.960;702.278
BRA;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;1967.541;2322.977;2833.335;3275.810;3616.064;3857.539;4058.533;4216.964;4333.190;4433.296;4522.291;4593.816;4657.649;4724.296;4775.302;4809.896;4836.094;4859.775;4883.422
BRB;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;4.804;5.084;5.604;6.021;6.340;6.563;6.733;6.879;6.978;7.052;7.101;7.169;7.289;7.422;7.572;7.733;7.910;8.114;8.356
BRN;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;18.153;20.882;24.403;27.334;29.785;32.053;34.165;36.136;38.153;40.270;42.511;44.766;46.901;48.933;50.903;52.811;54.672;56.459;58.194
BTN;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;3.470;5.681;9.700;13.736;17.833;21.934;26.213;30.605;34.970;39.281;43.739;48.378;53.105;57.848;62.434;66.890;71.317;75.748;80.152
BWA;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;25.012;30.792;37.733;43.778;48.685;52.584;56.218;59.541;62.604;65.312;68.053;70.886;73.624;76.404;79.299;82.228;85.202;88.258;91.346
CAF;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;3.114;3.869;5.063;6.412;7.832;9.273;10.948;12.906;15.184;17.807;20.810;24.231;28.118;32.479;37.261;42.480;48.126;54.221;60.789
CAN;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;1201.888;1340.315;1488.502;1602.145;1715.258;1851.025;2004.307;2152.701;2277.354;2376.839;2464.637;2548.178;2620.583;2673.917;2713.571;2739.622;2758.571;2775.279;2785.509
CHE;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;294.115;320.151;348.218;370.548;386.494;399.323;413.825;428.910;442.556;454.163;464.101;473.116;480.126;484.005;485.634;484.602;481.804;477.839;472.250
CHL;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;232.988;296.528;368.699;432.532;484.762;526.409;565.829;604.225;639.345;672.183;706.611;744.432;785.094;827.886;871.447;915.206;960.598;1008.856;1061.274
CHN;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;9121.348;13904.466;20318.299;26409.547;31120.250;34103.058;36249.662;37748.356;38452.515;38528.727;38486.901;38367.321;38207.705;37964.288;37724.969;37439.205;37204.798;37051.791;37012.167
CIV;OECD Env-Growth;SSP3;GDP|PPP;billion US$2005/yr;33.443;42.116;61.758;91.348;127.518;167.284;212.184;262.119;315.968;374.076;436.865;505.017;578.033;655.674;736.917;819.887;904.870;991.526;1080.162
