Region;Model;Scenario;Variable;Unit;Y2010;Y2015;Y2020;Y2025;Y2030;Y2035;Y2040;Y2045;Y2050;Y2055;Y2060;Y2065;Y2070;Y2075;Y2080;Y2085;Y2090;Y2095;Y2100
ABW;OECD Env-Growth;SSP5;GDP|PPP;billion US$2005/yr;0.151;0.208;0.277;0.395;0.589;0.885;1.291;1.823;2.498;3.327;4.318;5.468;6.769;8.208;9.770;11.351;12.921;14.432;15.810
AFG;OECD Env-Growth;SSP5;GDP|PPP;billion US$2005/yr;37.237;47.532;58.848;79.059;114.303;171.645;257.527;380.116;547.707;767.620;1044.537;1383.535;1785.195;2249.365;2776.635;3362.675;4004.527;4700.203;5442.728
AGO;OECD Env-Growth;SSP5;GDP|PPP;billion US$2005/yr;98.686;127.389;173.632;214.748;264.116;323.521;401.276;510.353;663.750;869.382;1133.130;1456.094;1833.656;2260.130;2727.862;3227.709;3752.107;4292.043;4834.886
ALB;OECD Env-Growth;SSP5;GDP|PPP;billion US$2005/yr;24.545;26.838;30.302;35.462;42.765;51.992;62.170;72.826;83.229;93.510;103.790;113.536;121.975;129.225;135.404;140.236;143.913;146.697;148.263
ARE;OECD Env-Growth;SSP5;GDP|PPP;billion US$2005/yr;318.142;453.516;567.148;720.458;921.726;1160.236;1414.170;1658.828;1875.453;2073.427;2269.341;2449.734;2606.055;2727.411;2826.731;2907.985;2972.880;3018.047;3029.692
ARG;OECD Env-Growth;SSP5;GDP|PPP;billion US$2005/yr;580.427;715.355;861.040;1051.834;1300.414;1599.623;1910.408;2217.790;2519.476;2818.433;3115.023;3408.138;3688.780;3947.501;4196.290;4431.179;4650.812;4853.981;5032.978
ARM;OECD Env-Growth;SSP5;GDP|PPP;billion US$2005/yr;15.153;18.067;21.351;26.147;32.992;41.514;50.073;57.800;64.172;69.381;74.150;79.022;82.883;85.603;87.950;90.056;92.332;94.607;96.688
AUS;OECD Env-Growth;SSP5;GDP|PPP;billion US$2005/yr;795.588;951.972;1148.951;1382.729;1673.625;2026.663;2432.613;2895.921;3400.799;3958.784;4598.989;5321.880;6127.258;7002.118;7932.694;8912.046;9945.441;11044.245;12219.904
AUT;OECD Env-Growth;SSP5;GDP|PPP;billion US$2005/yr;296.850;332.741;369.241;412.933;467.186;531.481;603.857;683.621;768.156;859.884;961.394;1073.316;1194.527;1325.496;1464.119;1607.837;1756.827;1912.712;2079.105
AZE;OECD Env-Growth;SSP5;GDP|PPP;billion US$2005/yr;80.696;91.408;105.389;118.894;138.677;158.282;181.027;207.344;236.065;268.942;309.727;360.250;413.750;462.830;510.867;559.524;610.963;663.636;713.869
