Region;Model;Scenario;Variable;Unit;Y2010;Y2015;Y2020;Y2025;Y2030;Y2035;Y2040;Y2045;Y2050;Y2055;Y2060;Y2065;Y2070;Y2075;Y2080;Y2085;Y2090;Y2095;Y2100
ABW;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;0.151;0.205;0.266;0.359;0.495;0.685;0.938;1.259;1.657;2.136;2.700;3.345;4.061;4.834;5.649;6.458;7.259;8.036;8.774
AFG;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;37.237;48.546;61.385;78.194;98.723;122.492;151.755;187.387;229.826;279.199;335.745;400.507;474.222;556.956;647.457;745.098;849.658;961.343;1080.487
AGO;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;98.686;129.041;172.160;201.272;225.039;240.400;257.078;284.463;329.090;394.028;481.667;594.862;736.232;907.959;1110.017;1342.222;1602.826;1893.984;2214.450
ALB;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;24.545;26.929;30.344;34.169;38.415;42.799;47.378;51.972;56.281;60.448;64.585;68.372;71.538;74.214;76.380;77.910;78.975;79.731;80.229
ARE;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;318.142;440.399;537.896;654.542;796.523;950.060;1099.313;1226.618;1324.841;1404.318;1482.263;1548.231;1601.502;1638.559;1662.241;1672.720;1673.394;1663.635;1640.712
ARG;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;580.427;716.973;859.903;1005.794;1157.428;1308.585;1449.039;1574.700;1696.619;1815.593;1929.638;2034.408;2126.183;2203.074;2272.093;2335.105;2394.713;2451.250;2501.379
ARM;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;15.153;18.138;21.342;24.791;28.709;32.851;36.904;40.486;43.445;45.979;48.572;51.389;53.691;55.360;56.840;58.215;59.644;61.077;62.371
AUS;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;795.588;938.340;1103.883;1277.105;1465.843;1674.947;1896.913;2131.048;2362.085;2593.891;2843.170;3101.158;3357.461;3598.015;3825.522;4033.440;4224.578;4400.543;4554.574
AUT;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;296.850;329.765;359.348;390.132;423.521;459.397;496.695;533.155;565.477;595.381;624.320;652.364;677.565;699.586;718.644;734.113;746.750;756.968;763.694
AZE;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;80.696;91.286;104.768;115.264;127.455;134.308;140.598;147.564;155.376;165.322;179.089;196.746;214.938;230.412;245.205;260.245;276.671;293.622;309.124
BDI;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;4.389;5.791;8.006;10.527;13.436;16.339;19.655;23.329;27.285;31.593;36.369;41.583;47.182;53.086;59.104;65.183;71.408;77.785;84.342
BEL;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;357.666;384.764;415.211;453.149;499.519;551.823;605.236;656.391;704.421;751.732;799.837;846.512;888.444;925.292;959.043;989.879;1018.567;1044.825;1065.829
BEN;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;12.601;15.278;19.321;24.285;29.873;35.352;41.444;48.246;55.653;63.653;72.182;81.156;90.560;100.292;110.351;120.628;131.301;142.361;153.974
BFA;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;18.709;25.566;35.362;46.849;59.462;72.169;86.540;103.056;121.900;143.212;166.938;193.333;222.551;254.272;288.156;324.016;361.787;401.637;443.733
BGD;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;221.297;299.735;416.077;539.953;653.221;738.181;811.585;870.174;914.328;947.845;972.679;987.017;992.465;991.987;985.431;974.122;960.478;946.511;932.193
BGR;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;86.738;95.973;117.827;139.787;162.195;182.856;201.160;216.763;230.805;244.681;259.687;273.807;284.855;292.288;297.591;301.299;304.043;305.802;305.755
BHR;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;26.934;35.243;44.590;56.275;69.247;83.012;97.175;111.106;124.992;140.377;157.541;174.598;190.655;204.831;216.942;227.180;235.966;243.084;247.819
BHS;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;9.647;10.862;12.369;13.799;15.279;16.823;18.331;19.809;21.134;22.363;23.515;24.610;25.647;26.469;27.164;27.691;28.090;28.395;28.584
BIH;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;28.065;30.764;37.377;45.173;53.339;61.379;68.936;75.275;80.020;83.691;87.161;89.164;90.305;90.534;89.782;88.464;86.907;85.298;83.587
BLR;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;118.671;144.998;174.784;202.633;229.841;255.516;278.533;297.071;311.289;324.978;341.163;357.206;369.718;377.135;381.345;384.514;387.664;390.587;391.770
BLZ;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;2.061;2.301;2.595;2.930;3.312;3.677;4.059;4.457;4.869;5.307;5.781;6.308;6.894;7.538;8.238;8.996;9.829;10.756;11.792
BOL;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;43.190;55.236;71.133;90.481;113.806;140.891;173.438;212.412;258.825;313.815;378.283;454.076;542.829;645.775;763.350;895.503;1043.658;1208.873;1393.532
BRA;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;1967.541;2307.059;2790.695;3250.369;3693.666;4118.368;4542.876;4950.713;5332.213;5711.066;6085.488;6422.677;6724.721;7011.568;7268.891;7494.153;7698.959;7894.712;8076.033
BRB;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;4.804;5.067;5.582;6.115;6.743;7.396;7.986;8.517;8.947;9.290;9.543;9.738;9.919;10.024;10.102;10.137;10.144;10.141;10.127
BRN;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;18.153;20.749;24.211;27.542;30.856;33.961;36.688;39.043;41.213;43.248;45.169;46.819;48.072;48.945;49.605;50.061;50.356;50.498;50.440
BTN;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;3.470;5.647;9.671;14.048;18.967;24.300;29.979;35.841;41.576;47.060;52.486;57.702;62.432;66.538;69.917;72.570;74.660;76.269;77.316
BWA;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;25.012;30.748;37.819;44.648;51.436;57.773;64.002;69.924;75.501;80.777;85.854;90.516;94.591;97.964;100.810;103.048;104.695;105.757;106.128
CAF;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;3.114;3.870;5.056;6.331;7.579;8.653;9.788;11.004;12.312;13.704;15.185;16.758;18.437;20.211;22.039;23.933;25.897;27.957;30.146
CAN;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;1201.888;1350.294;1521.654;1675.346;1845.615;2048.810;2263.128;2474.464;2674.918;2870.101;3079.408;3306.594;3540.534;3764.788;3981.931;4183.021;4370.384;4544.905;4698.999
CHE;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;294.115;321.815;355.297;390.883;428.867;470.188;515.096;562.233;609.259;655.595;702.140;748.548;793.041;834.037;872.679;907.834;939.586;968.120;992.519
CHL;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;232.988;294.895;364.611;431.526;496.618;558.763;621.230;683.489;741.522;795.001;847.208;897.636;943.751;983.751;1018.725;1048.148;1073.549;1096.415;1115.479
CHN;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;9121.348;13843.786;20259.872;27080.124;33580.307;39109.584;43862.356;47805.433;50574.283;52173.518;53198.144;53598.211;53424.497;52645.677;51638.060;50322.455;48888.444;47421.010;45916.343
CIV;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;33.443;41.991;61.047;88.308;120.078;152.268;186.981;224.308;263.415;304.474;347.458;392.783;440.262;489.683;540.314;591.542;643.769;697.176;752.447
CMR;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;40.336;51.048;66.697;84.735;104.808;124.708;146.464;169.937;195.309;222.784;252.282;283.503;316.389;350.227;384.882;420.429;457.097;495.332;535.020
COD;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;20.876;30.020;45.037;69.929;101.024;133.605;170.664;213.108;260.575;312.775;369.483;430.652;496.410;566.292;639.273;715.337;794.910;878.563;967.542
COG;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;15.396;22.842;30.407;39.248;48.806;58.362;68.695;79.862;91.994;105.147;119.304;134.180;149.820;165.893;182.289;198.837;215.529;232.372;249.492
COL;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;392.550;492.377;600.576;694.683;807.242;930.891;1065.687;1206.451;1353.001;1506.162;1664.593;1824.580;1981.831;2132.415;2277.786;2414.576;2542.878;2662.787;2771.019
COM;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;0.723;0.847;1.045;1.324;1.661;2.012;2.403;2.844;3.353;3.937;4.593;5.322;6.128;7.013;7.983;9.041;10.190;11.436;12.784
CPV;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;1.723;2.130;2.666;3.256;3.915;4.620;5.372;6.134;6.874;7.586;8.279;8.985;9.695;10.390;11.056;11.695;12.331;12.978;13.624
CRI;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;48.697;60.509;74.798;89.219;103.930;118.914;134.207;149.027;163.181;176.772;190.541;203.780;216.084;227.317;237.234;245.604;252.871;259.237;264.446
CUB;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;64.700;74.698;82.119;90.180;98.291;106.687;116.146;127.221;138.194;147.953;156.930;164.929;171.915;178.719;184.908;190.287;195.040;199.449;203.454
CYP;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;20.867;20.828;22.822;25.171;28.347;32.159;36.304;40.546;44.748;49.168;53.943;58.902;63.749;68.129;71.960;75.196;78.028;80.579;82.737
CZE;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;248.639;284.914;335.542;394.668;463.155;535.661;604.628;664.889;724.362;780.957;838.372;899.493;956.730;1003.721;1044.063;1079.438;1111.935;1143.167;1171.666
DEU;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;2727.329;2979.059;3166.278;3351.167;3545.836;3779.052;4054.838;4318.427;4550.633;4763.636;4990.366;5205.597;5407.278;5584.605;5741.945;5871.323;5981.948;6079.564;6149.819
DJI;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;1.884;2.379;3.143;4.173;5.412;6.787;8.338;10.053;11.912;13.887;15.985;18.228;20.605;23.096;25.663;28.278;30.925;33.673;36.505
DNK;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;180.168;193.550;210.224;227.131;246.038;267.494;290.890;316.402;343.054;369.063;395.136;421.447;447.301;472.360;497.650;522.097;545.603;568.166;589.155
DOM;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;83.260;103.502;127.079;149.687;173.499;197.714;223.062;248.941;274.972;301.258;327.352;352.765;376.473;398.558;419.438;438.396;455.623;471.198;484.717
DZA;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;268.295;311.220;376.567;457.349;537.446;601.638;649.352;700.430;767.036;848.826;944.583;1051.238;1157.802;1260.790;1360.573;1457.323;1554.487;1652.706;1747.395
ECU;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;104.160;126.875;150.150;176.969;207.761;241.346;279.252;320.486;365.554;414.486;466.700;520.320;574.339;627.815;680.443;731.088;780.185;827.782;872.667
EGY;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;449.698;529.171;702.058;906.922;1156.221;1442.596;1760.868;2095.821;2437.859;2801.956;3187.843;3576.554;3948.000;4296.226;4624.998;4936.891;5234.602;5512.891;5760.123
ERI;OECD Env-Growth;SSP4;GDP|PPP;billion US$2005/yr;2.573;3.215;3.419;3.958;4.527;4.994;5.504;6.082;6.753;7.530;8.413;9.393;10.458;11.604;12.852;14.203;15.671;17.266;19.018
